YEAR,TOTALCOST,ASSISTED,TOTSAL
1985,8636.0,0 Not Assisted,29561
1987,9479.0,0 Not Assisted,32203
1989,11046.0,0 Not Assisted,36261
1991,11352.0,0 Not Assisted,38135
1993,11158.0,0 Not Assisted,39942
1995,14367.0,0 Not Assisted,42847
1997,8169.0,0 Not Assisted,32325
1999,8877.0,0 Not Assisted,35071
2001,9751.0,0 Not Assisted,39344
2003,10278.0,0 Not Assisted,39689
2005,11062.0,0 Not Assisted,39561
2007,12322.0,0 Not Assisted,43102
2009,13760.0,0 Not Assisted,44732
2011,14954.0,0 Not Assisted,48184
2013,14645.0,0 Not Assisted,50403
